Land Use,Property Address,Sale Date,Sale Price,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath,SaleDT
SINGLE FAMILY,3712  GRUBBS RD,2014-01-08,109950.0,0.22,3131,18000.0,94400.0,115900.0,950.0,CRAWL,1953.0,BRICK,C   ,2.0,1.0,0.0,2014-01-08
SINGLE FAMILY,3712  NORMA DR,2014-08-08,141000.0,0.27,3131,18000.0,75400.0,93400.0,840.0,CRAWL,1954.0,FRAME,C   ,2.0,1.0,0.0,2014-08-08
SINGLE FAMILY,3712  PARK AVE,2013-11-01,196000.0,0.17,1126,65000.0,121500.0,186500.0,1344.0,CRAWL,1924.0,FRAME,D   ,2.0,1.0,0.0,2013-11-01
SINGLE FAMILY,3712  VALLEY RIDGE DR,2013-02-11,125700.0,0.26,3926,21500.0,104900.0,126400.0,1532.0,CRAWL,1968.0,BRICK,C   ,4.0,1.0,1.0,2013-02-11
SINGLE FAMILY,3712  WIMBLEDON RD,2015-09-25,959000.0,0.34,3228,240000.0,465700.0,718600.0,3696.0,CRAWL,2015.0,BRICK/FRAME,B   ,4.0,4.0,0.0,2015-09-25
SINGLE FAMILY,3712 WOODMONT  LN,2016-05-20,315000.0,0.32,3228,270000.0,15000.0,285000.0,1081.0,CRAWL,1948.0,BRICK,C   ,2.0,1.0,0.0,2016-05-20
SINGLE FAMILY,3712 YELTON  DR,2016-06-29,209500.0,0.26,3131,25000.0,71800.0,98400.0,1000.0,CRAWL,1956.0,BRICK,C   ,2.0,1.0,0.0,2016-06-29
SINGLE FAMILY,3713  HILLTOP LN,2015-03-30,176000.0,0.16,7332,28200.0,89800.0,118000.0,886.0,CRAWL,1952.0,FRAME,C   ,2.0,1.0,0.0,2015-03-30
SINGLE FAMILY,3713  MCCONNELL ST,2014-11-26,972000.0,1.21,9527,202500.0,418500.0,621000.0,4554.19995,CRAWL,1966.0,BRICK,A   ,4.0,4.0,0.0,2014-11-26
SINGLE FAMILY,3713  PRINCETON AVE,2013-02-22,320000.0,0.27,2626,175000.0,151500.0,335700.0,1260.0,PT BSMT,1935.0,BRICK,B   ,2.0,1.0,0.0,2013-02-22
SINGLE FAMILY,3713  RICHLAND AVE,2013-03-14,1500000.0,0.23,2626,195000.0,749400.0,944400.0,5219.20005,FULL BSMT,1920.0,BRICK,B   ,5.0,5.0,0.0,2013-03-14
SINGLE FAMILY,3713  TIBBS DR,2013-06-14,166500.0,0.21,3131,25000.0,121700.0,146700.0,1843.0,CRAWL,1956.0,BRICK,C   ,3.0,1.0,1.0,2013-06-14
SINGLE FAMILY,3713  WIMBLEDON RD,2013-07-11,975000.0,0.53,3228,300000.0,622600.0,922600.0,4011.5,FULL BSMT,2004.0,BRICK,A   ,4.0,3.0,1.0,2013-07-11
SINGLE FAMILY,3713 BELLE OAKS  DR,2016-05-25,170000.0,0.23,6027,27500.0,108500.0,136000.0,1802.0,CRAWL,1996.0,BRICK/FRAME,C   ,3.0,3.0,0.0,2016-05-25
SINGLE FAMILY,3713 HILLTOP  LN,2016-05-31,229750.0,0.16,7332,28200.0,89800.0,118000.0,886.0,CRAWL,1952.0,FRAME,C   ,2.0,1.0,0.0,2016-05-31
SINGLE FAMILY,3714  PARK AVE,2015-08-25,185550.0,0.17,1126,65000.0,71300.0,139600.0,1148.0,PT BSMT,1920.0,STONE,D   ,3.0,1.0,0.0,2015-08-25
SINGLE FAMILY,3714  PRINCETON AVE,2014-07-31,308000.0,0.29,2626,175000.0,131200.0,306200.0,984.0,FULL BSMT,1930.0,FRAME,B   ,2.0,1.0,0.0,2014-07-31
SINGLE FAMILY,3714  TIBBS DR,2015-01-20,135000.0,0.25,3131,25000.0,79200.0,104200.0,1275.0,CRAWL,1956.0,BRICK,C   ,2.0,1.0,0.0,2015-01-20
SINGLE FAMILY,3714  WEST END AVE,2014-06-19,900000.0,0.34,2626,396000.0,531100.0,960200.0,4177.0,PT BSMT,1910.0,BRICK,A   ,4.0,3.0,0.0,2014-06-19
SINGLE FAMILY,3715  NORMA DR,2015-02-23,92551.0,0.27,3131,18000.0,77200.0,99900.0,864.0,CRAWL,1952.0,FRAME,C   ,2.0,1.0,0.0,2015-02-23
SINGLE FAMILY,3716  HILLBROOK DR,2014-11-17,127000.0,0.46,3927,26000.0,102900.0,128900.0,1652.0,CRAWL,1962.0,BRICK/FRAME,C   ,3.0,1.0,1.0,2014-11-17
SINGLE FAMILY,3716  SYCAMORE LN,2015-01-09,725000.0,0.63,3228,240000.0,511600.0,751600.0,3994.5,CRAWL,2003.0,BRICK,B   ,4.0,2.0,1.0,2015-01-09
SINGLE FAMILY,3717  CENTRAL AVE,2015-12-04,800000.0,0.22,2626,195000.0,406100.0,602200.0,3203.25,CRAWL,1910.0,STUCCO,B   ,5.0,4.0,0.0,2015-12-04
SINGLE FAMILY,3717  GRUBBS RD,2016-04-18,200000.0,0.26,3131,18000.0,183400.0,209700.0,1641.0,CRAWL,1953.0,BRICK,C   ,3.0,2.0,0.0,2016-04-18
SINGLE FAMILY,3717  PRIEST LAKE DR,2013-06-21,160000.0,0.37,6026,27000.0,117900.0,146400.0,1838.0,CRAWL,1979.0,BRICK,C   ,3.0,3.0,0.0,2013-06-21
SINGLE FAMILY,3717  VALLEY RIDGE DR,2015-01-02,162000.0,0.48,3926,21500.0,111700.0,133200.0,1267.0,FULL BSMT,1968.0,BRICK,C   ,3.0,2.0,0.0,2015-01-02
SINGLE FAMILY,3717  WHARTON DR,2015-09-01,146000.0,0.32,3930,15000.0,115200.0,137000.0,1725.0,SLAB,1959.0,BRICK,C   ,3.0,1.0,1.0,2015-09-01
SINGLE FAMILY,3717  WOODMONT LN,2015-06-19,373000.0,0.28,3228,270000.0,75000.0,345000.0,1780.0,CRAWL,1952.0,BRICK,C   ,2.0,2.0,0.0,2015-06-19
SINGLE FAMILY,3717 NORMA  DR,2016-07-18,45000.0,0.27,3131,18000.0,82900.0,100900.0,958.0,CRAWL,1952.0,FRAME,C   ,2.0,1.0,0.0,2016-07-18
SINGLE FAMILY,3717 PRIEST LAKE  DR,2016-08-12,208000.0,0.37,6026,27000.0,117900.0,146400.0,1838.0,CRAWL,1979.0,BRICK,C   ,3.0,3.0,0.0,2016-08-12
SINGLE FAMILY,3717 WIMBLEDON  RD,2016-06-21,1040000.0,1.17,3228,244800.0,1025700.0,1270500.0,7362.0,FULL BSMT,2016.0,BRICK,A   ,5.0,5.0,1.0,2016-06-21
SINGLE FAMILY,3718  BAKERTOWN RD,2013-08-09,75000.0,0.24,3930,15000.0,53000.0,68000.0,975.0,CRAWL,1960.0,BRICK,C   ,2.0,1.0,0.0,2013-08-09
SINGLE FAMILY,3718  GRUBBS RD,2013-02-19,71000.0,0.23,3131,18000.0,79900.0,97900.0,864.0,CRAWL,1952.0,FRAME,C   ,2.0,1.0,0.0,2013-02-19
SINGLE FAMILY,3718  SENTINEL DR,2016-01-07,233500.0,0.23,1126,65000.0,86500.0,152700.0,744.0,CRAWL,1954.0,FRAME,D   ,2.0,1.0,0.0,2016-01-07
