Land Use,Property Address,Sale Date,Sale Price,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath,SaleDT
SINGLE FAMILY,0 E NOCTURNE DR,2016-03-03,110250.0,0.25,3527,11000.0,92300.0,103300.0,1384.0,CRAWL,2008.0,FRAME,C   ,3.0,2.0,0.0,2016-03-03
SINGLE FAMILY,1  PEACH BLOSSOM SQ,2015-08-31,745000.0,0.16,3246,180000.0,338100.0,525200.0,2397.0,CRAWL,1969.0,BRICK,B   ,3.0,2.0,1.0,2015-08-31
SINGLE FAMILY,1  WATERS AVE,2013-08-12,365000.0,0.37,2726,43900.0,249000.0,299600.0,1986.0,PIERS,1930.0,FRAME,B   ,4.0,2.0,0.0,2013-08-12
SINGLE FAMILY,1 FERN  AVE,2016-08-30,275000.0,0.07,3426,8400.0,36200.0,44600.0,680.0,CRAWL,1940.0,FRAME,D   ,1.0,1.0,0.0,2016-08-30
SINGLE FAMILY,1 WATERS  AVE,2016-06-15,465000.0,0.37,2726,43900.0,249000.0,299600.0,1986.0,PIERS,1930.0,FRAME,B   ,4.0,2.0,0.0,2016-06-15
SINGLE FAMILY,10  AGINCOURT WAY,2014-09-12,1025000.0,3.41,9226,431100.0,974000.0,1406200.0,6938.20005,FULL BSMT,2005.0,FRAME,X   ,5.0,5.0,2.0,2014-09-12
SINGLE FAMILY,10  BRIDLEWAY TRL,2016-02-17,1115000.0,2.1,9226,346500.0,819900.0,1166400.0,5456.5,CRAWL,1998.0,BRICK,X   ,4.0,5.0,0.0,2016-02-17
SINGLE FAMILY,10 FERN  AVE,2016-06-24,220000.0,0.16,3426,10500.0,39200.0,52400.0,726.0,CRAWL,1899.0,FRAME,D   ,2.0,1.0,0.0,2016-06-24
SINGLE FAMILY,100  BALLEROY DR,2015-02-25,1750000.0,2.07,9226,350700.0,1590900.0,1941600.0,7735.0,CRAWL,2006.0,BRICK,X   ,5.0,6.0,2.0,2015-02-25
SINGLE FAMILY,100  CLYDELAN CT,2013-07-31,1248000.0,0.67,4327,339300.0,1057100.0,1396400.0,5819.0,PT BSMT,2013.0,BRICK,X   ,5.0,5.0,2.0,2013-07-31
SINGLE FAMILY,100  DEMOSS RD,2016-02-19,333750.0,0.16,3330,35000.0,236200.0,271200.0,2550.0,CRAWL,2000.0,FRAME,C   ,5.0,3.0,0.0,2016-02-19
SINGLE FAMILY,100  ELBERTA ST,2015-10-01,95000.0,0.2,3130,25000.0,94000.0,123400.0,1440.0,CRAWL,1945.0,FRAME,C   ,3.0,1.0,0.0,2015-10-01
SINGLE FAMILY,100  ENSLEY AVE,2015-12-28,90000.0,0.1,6226,19000.0,33600.0,52600.0,640.0,CRAWL,1940.0,FRAME,D   ,2.0,1.0,0.0,2015-12-28
SINGLE FAMILY,100  GRAEME DR,2016-01-29,125000.0,1.88,4129,38800.0,81500.0,120300.0,950.0,PT BSMT,1955.0,BRICK,C   ,2.0,1.0,0.0,2016-01-29
SINGLE FAMILY,100  GRAYCROFT CT,2014-08-15,173500.0,0.91,6942,35000.0,112800.0,147800.0,1682.0,CRAWL,1960.0,BRICK,C   ,3.0,2.0,0.0,2014-08-15
SINGLE FAMILY,100  HASTY DR,2014-07-02,163500.0,0.91,9326,35000.0,113700.0,149900.0,1766.0,CRAWL,1969.0,BRICK,C   ,3.0,2.0,0.0,2014-07-02
SINGLE FAMILY,100  MCKENNELL DR,2014-05-09,98500.0,0.21,3627,25000.0,40800.0,67600.0,792.0,PT BSMT,1956.0,FRAME,D   ,2.0,1.0,0.0,2014-05-09
SINGLE FAMILY,100  MONTCHANIN RD,2015-08-14,260000.0,1.08,6227,99000.0,166900.0,265900.0,2161.0,FULL BSMT,1990.0,BRICK,B   ,3.0,3.0,0.0,2015-08-14
SINGLE FAMILY,100  NANCY CT,2013-05-29,217900.0,0.35,6229,35000.0,149200.0,184200.0,2340.0,CRAWL,1997.0,FRAME,C   ,3.0,3.0,0.0,2013-05-29
SINGLE FAMILY,100  PEMBROKE AVE,2015-02-06,765000.0,0.26,4328,290000.0,364500.0,662900.0,2963.0,PT BSMT,1936.0,BRICK,B   ,3.0,4.0,0.0,2015-02-06
SINGLE FAMILY,100  RHINE DR,2013-07-11,70000.0,0.51,6931,25000.0,66000.0,91000.0,1025.0,CRAWL,1953.0,BRICK,C   ,3.0,1.0,0.0,2013-07-11
SINGLE FAMILY,100  ROSE ST,2016-03-17,180000.0,0.17,3130,25000.0,0.0,25000.0,,,,,,,,,2016-03-17
SINGLE FAMILY,100  SADDLESTONE  CT S,2016-09-20,166600.0,0.17,6229,23000.0,105700.0,128700.0,1146.0,CRAWL,2001.0,FRAME,C   ,3.0,2.0,0.0,2016-09-20
SINGLE FAMILY,100  STONE BRIDGE CT,2015-09-03,145200.0,0.2,6027,27500.0,87100.0,114600.0,1519.0,CRAWL,1984.0,FRAME,C   ,3.0,2.0,0.0,2015-09-03
SINGLE FAMILY,100  WARREN DR,2014-04-02,89600.0,0.34,6226,17000.0,62200.0,79200.0,872.0,CRAWL,1951.0,BRICK,C   ,2.0,1.0,0.0,2014-04-02
SINGLE FAMILY,100 CRYSTAL  CT,2016-10-13,118000.0,0.28,6828,23000.0,82700.0,105700.0,1312.0,CRAWL,1983.0,FRAME,C   ,3.0,2.0,0.0,2016-10-13
SINGLE FAMILY,100 DEKEWOOD  DR,2016-09-15,515000.0,0.54,4356,90000.0,306200.0,397700.0,4303.00006,CRAWL,1997.0,BRICK/FRAME,A   ,3.0,4.0,0.0,2016-09-15
SINGLE FAMILY,1000  11TH AVE N,2014-02-28,210000.0,0.1,126,40000.0,112900.0,152900.0,1078.0,CRAWL,2001.0,BRICK,C   ,3.0,2.0,0.0,2014-02-28
SINGLE FAMILY,1000  42ND AVE N,2013-01-07,59220.0,0.12,1127,20000.0,37800.0,57800.0,888.0,PT BSMT,1950.0,FRAME,D   ,3.0,1.0,0.0,2013-01-07
SINGLE FAMILY,1000  ARGYLE AVE,2016-04-06,285000.0,0.24,1626,100000.0,55600.0,155600.0,918.0,CRAWL,1976.0,BRICK,C   ,2.0,1.0,0.0,2016-04-06
SINGLE FAMILY,1000  BIRDSALL ST,2015-07-22,176500.0,0.11,6226,27000.0,149300.0,176300.0,1612.0,FULL BSMT,1928.0,FRAME,C   ,3.0,2.0,,2015-07-22
SINGLE FAMILY,1000  CHEYENNE BLVD,2015-04-30,91000.0,0.32,6927,20000.0,65600.0,86800.0,1249.0,SLAB,1976.0,FRAME,C   ,3.0,1.0,0.0,2015-04-30
SINGLE FAMILY,1000  CHICAMAUGA AVE,2014-08-01,250000.0,0.16,3628,35000.0,136700.0,171700.0,1517.0,PT BSMT,1919.0,FRAME,C   ,3.0,2.0,0.0,2014-08-01
SINGLE FAMILY,1000  CLAY ST,2015-10-23,295000.0,0.09,226,11000.0,140800.0,151800.0,2000.0,CRAWL,2015.0,FRAME,C   ,3.0,2.0,1.0,2015-10-23
SINGLE FAMILY,1000  FITZPATRICK RD,2014-08-29,202000.0,0.29,4132,30500.0,150900.0,181400.0,2150.40002,FULL BSMT,1990.0,BRICK,C   ,3.0,2.0,1.0,2014-08-29
SINGLE FAMILY,1000  GLENVIEW DR,2015-05-15,371501.0,0.16,2328,25000.0,258900.0,283900.0,1920.0,CRAWL,2015.0,FRAME,B   ,3.0,2.0,1.0,2015-05-15
SINGLE FAMILY,1000  IVERSON AVE,2014-11-07,228000.0,0.22,3628,33600.0,168200.0,201800.0,1570.56,PT BSMT,1930.0,BRICK,C   ,4.0,1.0,0.0,2014-11-07
SINGLE FAMILY,1000  JOYCE LN,2014-11-21,211000.0,0.5,7332,31200.0,154300.0,192500.0,1565.0,CRAWL,1952.0,BRICK,C   ,3.0,2.0,0.0,2014-11-21
SINGLE FAMILY,1000  LIVINGSTON ST,2015-06-16,119900.0,0.34,6226,17000.0,76900.0,97500.0,1070.0,CRAWL,1934.0,FRAME,D   ,2.0,1.0,0.0,2015-06-16
SINGLE FAMILY,1000  MCFERRIN AVE,2013-01-11,75000.0,0.38,3628,43800.0,20500.0,64300.0,2028.0,FULL BSMT,1930.0,FRAME,D   ,6.0,2.0,0.0,2013-01-11
SINGLE FAMILY,1000  N 16TH ST,2013-06-12,460000.0,0.16,2726,60300.0,316900.0,400100.0,2198.0,FULL BSMT,1935.0,FRAME,B   ,3.0,2.0,1.0,2013-06-12
SINGLE FAMILY,1000  N 6TH ST,2015-12-16,125000.0,0.22,2026,27000.0,0.0,27000.0,,,,,,,,,2015-12-16
SINGLE FAMILY,1000  OAK RIDGE CT,2015-07-30,133800.0,0.28,6031,25000.0,85600.0,110600.0,1178.0,CRAWL,1994.0,BRICK/FRAME,C   ,3.0,2.0,0.0,2015-07-30
SINGLE FAMILY,1000  PENNOCK AVE,2014-04-30,50000.0,0.22,2026,27000.0,0.0,27000.0,0.0,,,,,,,,2014-04-30
SINGLE FAMILY,1000  PERCY WARNER BLVD,2014-05-19,319130.0,0.34,4326,70000.0,190500.0,261000.0,2944.5,PT BSMT,1965.0,BRICK,C   ,3.0,2.0,0.0,2014-05-19
SINGLE FAMILY,1000  SEYMOUR AVE,2014-12-08,335000.0,0.26,3628,40300.0,189600.0,241700.0,1858.0,CRAWL,1935.0,FRAME,C   ,3.0,2.0,0.0,2014-12-08
SINGLE FAMILY,1000  SHAKERTOWN CV,2015-09-14,192000.0,0.23,6027,27500.0,128700.0,156200.0,2325.0,CRAWL,1993.0,BRICK/FRAME,C   ,3.0,3.0,0.0,2015-09-14
SINGLE FAMILY,1000  SOUTHSIDE PL,2013-02-01,125000.0,0.17,1026,35000.0,86300.0,121300.0,1161.0,CRAWL,1972.0,BRICK,C   ,3.0,1.0,0.0,2013-02-01
SINGLE FAMILY,1000  VIRGINIA AVE,2015-04-28,339900.0,0.2,7332,28200.0,176700.0,204900.0,1800.0,CRAWL,2015.0,FRAME,C   ,3.0,2.0,1.0,2015-04-28
SINGLE FAMILY,1000 CHICAMAUGA  AVE,2016-08-02,336500.0,0.16,3628,35000.0,136700.0,171700.0,1517.0,PT BSMT,1919.0,FRAME,C   ,3.0,2.0,0.0,2016-08-02
SINGLE FAMILY,1000 DONOHO  DR,2016-08-22,178000.0,0.32,6231,26000.0,112700.0,138700.0,1427.0,CRAWL,1999.0,BRICK/FRAME,C   ,3.0,2.0,0.0,2016-08-22
SINGLE FAMILY,1000 SHARPE  AVE,2016-06-22,388000.0,0.32,3628,29900.0,119800.0,149700.0,1340.0,CRAWL,1929.0,FRAME,C   ,3.0,2.0,0.0,2016-06-22
SINGLE FAMILY,1000 WADE  AVE,2016-08-19,350000.0,0.25,1626,80000.0,95300.0,178400.0,1056.0,SLAB,1976.0,BRICK,C   ,3.0,1.0,0.0,2016-08-19
SINGLE FAMILY,1001  ALICE ST,2015-10-01,78000.0,0.2,3527,11000.0,44900.0,55900.0,912.0,CRAWL,1952.0,FRAME,D   ,3.0,1.0,0.0,2015-10-01
SINGLE FAMILY,1001  BEECH BEND DR,2015-01-05,189000.0,0.33,6737,40500.0,108300.0,148800.0,1124.0,CRAWL,1984.0,FRAME,C   ,3.0,2.0,0.0,2015-01-05
SINGLE FAMILY,1001  BIRDSALL ST,2014-07-09,240000.0,0.12,6226,27000.0,206500.0,233500.0,2100.71997,PT BSMT,1928.0,FRAME,C   ,3.0,3.0,,2014-07-09
SINGLE FAMILY,1001  BRILEY PKWY,2016-03-16,100000.0,0.22,3026,17000.0,66800.0,83800.0,839.0,CRAWL,1949.0,FRAME,C   ,2.0,2.0,0.0,2016-03-16
SINGLE FAMILY,1001  CALDWELL AVE,2015-10-09,526500.0,0.2,1626,140000.0,208900.0,356400.0,1846.0,CRAWL,1930.0,FRAME,C   ,3.0,2.0,0.0,2015-10-09
SINGLE FAMILY,1001  CAROLYN AVE,2014-05-16,210000.0,0.22,3628,30000.0,123000.0,153000.0,1190.0,PT BSMT,1940.0,STONE,C   ,3.0,1.0,0.0,2014-05-16
SINGLE FAMILY,1001  DUE WEST AVE N,2014-03-14,70000.0,1.23,6932,25000.0,38900.0,136800.0,1520.0,CRAWL,1940.0,FRAME,D   ,3.0,1.0,0.0,2014-03-14
SINGLE FAMILY,1001  FAIRWIN AVE,2015-10-23,290000.0,0.25,3628,30000.0,145200.0,187500.0,1713.0,CRAWL,1935.0,BRICK,C   ,3.0,2.0,0.0,2015-10-23
SINGLE FAMILY,1001  GIBSON DR,2014-05-05,165000.0,0.36,6928,21600.0,120100.0,141700.0,1923.84003,FULL BSMT,1955.0,BRICK,C   ,3.0,2.0,0.0,2014-05-05
SINGLE FAMILY,1001  GILMORE AVE,2015-11-20,699500.0,0.22,1626,140000.0,338800.0,483600.0,2904.0,PT BSMT,1925.0,FRAME,C   ,3.0,2.0,1.0,2015-11-20
SINGLE FAMILY,1001  GWYNN DR,2015-05-29,270000.0,0.17,7332,26000.0,187900.0,213900.0,2060.79999,FULL BSMT,1949.0,FRAME,C   ,3.0,2.0,0.0,2015-05-29
SINGLE FAMILY,1001  HICKORY HOLLOW RD,2015-10-29,315500.0,0.97,6736,50000.0,169800.0,219800.0,2683.0,SLAB,1966.0,BRICK/FRAME,B   ,4.0,1.0,1.0,2015-10-29
SINGLE FAMILY,1001  HORSESHOE DR,2015-07-24,257000.0,0.35,7332,30000.0,99900.0,129900.0,1437.0,CRAWL,1948.0,BRICK,C   ,2.0,1.0,1.0,2015-07-24
SINGLE FAMILY,1001  JASPERSON DR,2013-01-24,66120.0,0.98,6926,27000.0,80900.0,107900.0,1361.0,CRAWL,1954.0,BRICK,C   ,2.0,1.0,0.0,2013-01-24
SINGLE FAMILY,1001  LAWRENCE AVE,2014-09-19,250000.0,0.12,1626,140000.0,129200.0,269200.0,1278.0,CRAWL,1960.0,BRICK,C   ,3.0,1.0,0.0,2014-09-19
SINGLE FAMILY,1001  MAYNOR AVE,2015-05-07,130000.0,0.22,3628,33600.0,99400.0,133000.0,1807.6,PT BSMT,1940.0,BRICK,C   ,4.0,1.0,0.0,2015-05-07
SINGLE FAMILY,1001  MCCLURKAN AVE,2014-10-31,314900.0,0.17,3628,30000.0,257100.0,289300.0,1875.0,PT BSMT,1945.0,FRAME,B   ,3.0,2.0,0.0,2014-10-31
SINGLE FAMILY,1001  MCMAHAN AVE,2015-11-24,349900.0,0.34,7332,30000.0,168300.0,205300.0,1917.5,PT BSMT,1940.0,BRICK,C   ,3.0,2.0,0.0,2015-11-24
SINGLE FAMILY,1001  N GRAYCROFT AVE,2015-06-18,158000.0,1.01,6929,30200.0,100800.0,131000.0,2350.0,FULL BSMT,1958.0,BRICK,C   ,4.0,2.0,0.0,2015-06-18
SINGLE FAMILY,1001  STAINBACK AVE,2016-02-16,283000.0,0.26,2026,35100.0,154800.0,189900.0,1815.0,CRAWL,1930.0,FRAME,C   ,4.0,3.0,0.0,2016-02-16
SINGLE FAMILY,1001  STOCKELL ST,2015-04-30,125000.0,0.19,2026,27000.0,51500.0,85500.0,1260.0,CRAWL,1930.0,FRAME,C   ,3.0,2.0,0.0,2015-04-30
SINGLE FAMILY,1001 ELLISTON  ST,2016-06-13,150000.0,0.08,6226,17000.0,59800.0,76800.0,874.0,PT BSMT,1933.0,FRAME,D   ,3.0,1.0,0.0,2016-06-13
SINGLE FAMILY,1001 ESTURBRIDGE  CT,2016-06-30,195000.0,0.31,4291,29500.0,129100.0,158600.0,2396.0,CRAWL,1987.0,BRICK/FRAME,C   ,3.0,3.0,0.0,2016-06-30
SINGLE FAMILY,1001 JASPERSON  DR,2016-09-15,158000.0,0.98,6926,27000.0,80900.0,107900.0,1361.0,CRAWL,1954.0,BRICK,C   ,2.0,1.0,0.0,2016-09-15
SINGLE FAMILY,1001 S 11TH  ST,2016-05-06,500000.0,0.13,2328,25000.0,326900.0,351900.0,2332.0,CRAWL,2016.0,FRAME,B   ,3.0,2.0,2.0,2016-05-06
SINGLE FAMILY,1001 SNOW  AVE,2016-06-21,155000.0,0.52,6950,22300.0,81600.0,105500.0,1200.0,CRAWL,2001.0,FRAME,C   ,3.0,2.0,0.0,2016-06-21
SINGLE FAMILY,1002  BURCHWOOD AVE,2015-09-11,370500.0,0.19,3628,28000.0,194400.0,222400.0,1836.80005,FULL BSMT,1940.0,BRICK,C   ,3.0,2.0,0.0,2015-09-11
SINGLE FAMILY,1002  ELLISTON ST,2016-04-06,152000.0,0.08,6226,17000.0,112200.0,129200.0,1396.35999,PT BSMT,1930.0,FRAME,D   ,3.0,2.0,,2016-04-06
SINGLE FAMILY,1002  ELVIRA AVE,2014-02-05,121400.0,0.22,3628,18200.0,82300.0,100500.0,952.0,CRAWL,1930.0,FRAME,C   ,2.0,1.0,0.0,2014-02-05
SINGLE FAMILY,1002  GLENVIEW DR,2014-11-04,349000.0,0.17,2328,25000.0,256600.0,281600.0,1860.0,CRAWL,2014.0,FRAME,B   ,3.0,2.0,1.0,2014-11-04
SINGLE FAMILY,1002  JASPERSON DR,2014-07-31,138000.0,0.96,6926,27000.0,122100.0,149100.0,1725.0,FULL BSMT,1958.0,BRICK,C   ,3.0,1.0,1.0,2014-07-31
SINGLE FAMILY,1002  MATTHEWS AVE,2013-07-01,62500.0,0.33,7332,30000.0,72300.0,102300.0,1210.0,PT BSMT,1931.0,STUCCO,C   ,4.0,1.0,0.0,2013-07-01
SINGLE FAMILY,1002  PERCY WARNER BLVD,2014-04-16,269000.0,0.34,4326,70000.0,154900.0,224900.0,1867.0,CRAWL,1965.0,BRICK,C   ,3.0,3.0,0.0,2014-04-16
SINGLE FAMILY,1002  S 11TH ST,2013-07-22,70000.0,0.17,2328,25000.0,0.0,25000.0,,,,,,,,,2013-07-22
SINGLE FAMILY,1002  SOUTHSIDE AVE,2016-01-28,329900.0,0.14,1026,35000.0,80400.0,115400.0,1125.0,CRAWL,1972.0,BRICK,C   ,3.0,1.0,0.0,2016-01-28
SINGLE FAMILY,1002  TYNE BLVD,2016-03-30,3000000.0,2.84,9529,547200.0,1818400.0,2482200.0,6530.0,CRAWL,2000.0,STONE,X   ,4.0,3.0,1.0,2016-03-30
SINGLE FAMILY,1002 ALADDIN  DR,2016-10-20,120000.0,0.22,3026,17000.0,62100.0,86100.0,1014.0,CRAWL,1949.0,FRAME,C   ,3.0,1.0,0.0,2016-10-20
SINGLE FAMILY,1002 CLARKE  ST,2016-06-24,165000.0,0.1,6226,27000.0,103300.0,130300.0,1242.0,PT BSMT,1928.0,FRAME,C   ,3.0,1.0,0.0,2016-06-24
SINGLE FAMILY,1002 DOWNEY  DR,2016-06-30,320000.0,0.62,4428,150000.0,82300.0,232300.0,1714.0,CRAWL,1960.0,BRICK,C   ,3.0,1.0,1.0,2016-06-30
SINGLE FAMILY,1002 S GRAYCROFT  AVE,2016-06-20,395000.0,1.43,6942,46000.0,192600.0,267200.0,3133.0,CRAWL,1960.0,BRICK,C   ,3.0,2.0,0.0,2016-06-20
SINGLE FAMILY,1002 SOUTHSIDE  AVE,2016-07-20,425000.0,0.14,1026,35000.0,80400.0,115400.0,1125.0,CRAWL,1972.0,BRICK,C   ,3.0,1.0,0.0,2016-07-20
SINGLE FAMILY,1003  10TH AVE N,2014-10-10,405000.0,0.11,126,40000.0,302300.0,364700.0,2324.0,CRAWL,2008.0,BRICK,B   ,3.0,2.0,1.0,2014-10-10
SINGLE FAMILY,1003  15TH AVE S,2015-07-01,700000.0,0.15,1026,60000.0,430300.0,499300.0,2688.36,PT BSMT,1923.0,BRICK,B   ,5.0,2.0,1.0,2015-07-01
SINGLE FAMILY,1003  BRILEY PKWY,2015-02-12,80000.0,0.22,3026,17000.0,64600.0,81600.0,834.0,CRAWL,1949.0,FRAME,C   ,2.0,2.0,0.0,2015-02-12
SINGLE FAMILY,1003  CAROLYN AVE,2013-05-30,179900.0,0.26,3628,30000.0,135900.0,167400.0,1424.0,PT BSMT,1938.0,BRICK,C   ,3.0,1.0,0.0,2013-05-30
SINGLE FAMILY,1003  CLAYTON AVE,2015-06-29,434500.0,0.21,1626,130000.0,137600.0,267600.0,1352.0,FULL BSMT,1945.0,BRICK,C   ,4.0,2.0,0.0,2015-06-29
SINGLE FAMILY,1003  CURDWOOD BLVD,2015-10-14,133000.0,0.35,7332,30000.0,0.0,30000.0,,,,,,,,,2015-10-14
SINGLE FAMILY,1003  DAVIDSON ST,2015-03-26,160000.0,0.21,2328,25000.0,93000.0,118000.0,814.0,CRAWL,1960.0,FRAME,D   ,2.0,1.0,0.0,2015-03-26
SINGLE FAMILY,1003  DEW ST,2015-01-05,375000.0,0.16,2328,25000.0,306100.0,331100.0,2326.0,CRAWL,2014.0,FRAME,B   ,3.0,2.0,1.0,2015-01-05
SINGLE FAMILY,1003  DOZIER PL,2014-09-16,194900.0,0.23,3628,28000.0,107500.0,135500.0,1396.0,PT BSMT,1950.0,BRICK,C   ,3.0,1.0,1.0,2014-09-16
SINGLE FAMILY,1003  ELVIRA AVE,2015-08-21,105000.0,0.17,3628,18200.0,64600.0,82800.0,837.0,CRAWL,1928.0,FRAME,D   ,2.0,1.0,0.0,2015-08-21
SINGLE FAMILY,1003  HORSESHOE DR,2014-11-14,181000.0,0.25,7332,30000.0,100000.0,130000.0,1492.0,CRAWL,1948.0,BRICK,C   ,3.0,1.0,0.0,2014-11-14
SINGLE FAMILY,1003  IVERSON AVE,2013-02-11,103000.0,0.22,3628,26900.0,85300.0,112200.0,1094.0,FULL BSMT,1940.0,BRICK,C   ,2.0,1.0,0.0,2013-02-11
SINGLE FAMILY,1003  MANSFIELD ST,2013-12-12,324900.0,0.2,1926,35000.0,234800.0,269800.0,2719.5,CRAWL,1930.0,BRICK/FRAME,C   ,4.0,3.0,0.0,2013-12-12
SINGLE FAMILY,1003  MATTHEWS AVE,2015-09-30,220000.0,0.19,7332,28200.0,95500.0,127800.0,828.0,CRAWL,1948.0,BRICK,C   ,2.0,1.0,0.0,2015-09-30
SINGLE FAMILY,1003  N 2ND ST,2013-04-01,124900.0,0.18,2026,27000.0,98200.0,125200.0,1296.0,CRAWL,1920.0,FRAME,D   ,2.0,2.0,0.0,2013-04-01
SINGLE FAMILY,1003  N GRAYCROFT AVE,2014-07-11,153000.0,1.04,6929,30200.0,102600.0,132800.0,1771.0,FULL BSMT,1959.0,BRICK,C   ,3.0,1.0,0.0,2014-07-11
SINGLE FAMILY,1003  PETWAY AVE,2013-11-06,200000.0,0.24,3628,35000.0,233200.0,281900.0,2987.0,PT BSMT,1947.0,BRICK,C   ,6.0,3.0,1.0,2013-11-06
SINGLE FAMILY,1003  PHILLIPS ST,2015-05-26,349500.0,0.14,126,40000.0,203400.0,243400.0,1567.0,CRAWL,2006.0,FRAME,B   ,3.0,2.0,0.0,2015-05-26
SINGLE FAMILY,1003  SEYMOUR AVE,2014-06-17,353000.0,0.2,3628,35000.0,187800.0,222800.0,2398.20001,CRAWL,1935.0,BRICK,C   ,3.0,2.0,0.0,2014-06-17
SINGLE FAMILY,1003  STOCKELL ST,2015-08-28,399000.0,0.19,2026,27000.0,291200.0,331100.0,2546.75,CRAWL,2015.0,FRAME,B   ,4.0,3.0,0.0,2015-08-28
SINGLE FAMILY,1003  TYNE BLVD,2014-08-08,605000.0,2.61,9529,518400.0,261500.0,779900.0,2846.0,PT BSMT,1946.0,BRICK,B   ,3.0,2.0,1.0,2014-08-08
SINGLE FAMILY,1003  W GREENWOOD AVE,2014-09-05,349000.0,0.35,3628,29900.0,226900.0,267100.0,2252.5,CRAWL,1920.0,CONC BLK,C   ,5.0,3.0,0.0,2014-09-05
SINGLE FAMILY,1003 57TH  AVE N,2016-07-13,206000.0,0.18,1228,30000.0,53300.0,83300.0,936.0,CRAWL,1956.0,FRAME,C   ,3.0,1.0,0.0,2016-07-13
SINGLE FAMILY,1003 W GROVE  AVE,2016-06-16,857400.0,0.16,1626,140000.0,447000.0,601300.0,2997.0,CRAWL,2016.0,BRICK/FRAME,B   ,4.0,3.0,1.0,2016-06-16
SINGLE FAMILY,1004  ALADDIN DR,2014-05-09,88500.0,0.22,3026,17000.0,54100.0,81800.0,713.0,CRAWL,1949.0,FRAME,C   ,2.0,1.0,0.0,2014-05-09
SINGLE FAMILY,1004  CAHAL AVE,2014-04-25,255000.0,0.18,3628,30000.0,203200.0,233200.0,1732.35001,CRAWL,1945.0,FRAME,B   ,3.0,2.0,0.0,2014-04-25
SINGLE FAMILY,1004  CAROLYN AVE,2015-09-17,274900.0,0.2,3628,30000.0,171300.0,201300.0,1575.0,FULL BSMT,1933.0,BRICK,C   ,3.0,2.0,0.0,2015-09-17
SINGLE FAMILY,1004  DELRAY CT,2014-08-28,85000.0,0.17,1228,21000.0,40800.0,63000.0,704.0,CRAWL,1954.0,FRAME,C   ,2.0,1.0,0.0,2014-08-28
SINGLE FAMILY,1004  E LAKE CT,2014-07-17,98000.0,0.24,4132,22000.0,76700.0,98700.0,1320.0,CRAWL,1982.0,FRAME,C   ,3.0,2.0,0.0,2014-07-17
SINGLE FAMILY,1004  FOWLER ST,2015-06-12,108000.0,0.53,6226,17000.0,75300.0,92300.0,1166.0,FULL BSMT,1934.0,FRAME,D   ,3.0,1.0,0.0,2015-06-12
SINGLE FAMILY,1004  HADLEY AVE,2015-03-27,145000.0,0.29,6226,17000.0,118200.0,136200.0,1473.0,CRAWL,1955.0,BRICK,C   ,3.0,1.0,0.0,2015-03-27
SINGLE FAMILY,1004  JOSEPH AVE,2014-11-07,169900.0,0.16,2026,27000.0,140100.0,167100.0,1334.0,CRAWL,1920.0,FRAME/STONE,C   ,3.0,2.0,0.0,2014-11-07
SINGLE FAMILY,1004  LAWRENCE AVE,2014-07-03,351000.0,0.18,1626,140000.0,242200.0,382900.0,2239.0,PT BSMT,1940.0,FRAME,C   ,4.0,2.0,0.0,2014-07-03
SINGLE FAMILY,1004  N 2ND ST,2013-07-30,127900.0,0.16,2026,27000.0,109000.0,136000.0,1200.0,CRAWL,1920.0,FRAME,C   ,2.0,2.0,0.0,2013-07-30
SINGLE FAMILY,1004  N 7TH ST,2015-04-13,235000.0,0.18,2026,27000.0,109500.0,136500.0,1124.0,CRAWL,1920.0,BRICK,C   ,3.0,2.0,0.0,2015-04-13
SINGLE FAMILY,1004  NORFLEET DR,2014-09-30,395000.0,1.15,9529,200000.0,198800.0,399800.0,2462.0,PT BSMT,1958.0,BRICK,B   ,3.0,2.0,0.0,2014-09-30
SINGLE FAMILY,1004  PETWAY AVE,2015-09-24,235000.0,0.16,3628,35000.0,173900.0,212600.0,1868.0,PT BSMT,1948.0,BRICK,C   ,3.0,2.0,0.0,2015-09-24
SINGLE FAMILY,1004  POTTER LN,2015-02-06,279900.0,0.26,3629,35000.0,162000.0,197000.0,1501.44,FULL BSMT,1958.0,BRICK,C   ,3.0,2.0,0.0,2015-02-06
SINGLE FAMILY,1004  SHARPE AVE,2016-03-02,85000.0,0.19,3628,26000.0,303000.0,329000.0,2464.47504,CRAWL,2016.0,FRAME,B   ,3.0,2.0,1.0,2016-03-02
SINGLE FAMILY,1004  SOUTHSIDE PL,2016-01-06,357500.0,0.15,1026,35000.0,0.0,35000.0,,,,,,,,,2016-01-06
SINGLE FAMILY,1004  W MCKENNIE AVE,2014-06-30,145000.0,0.21,3628,26000.0,162900.0,188900.0,2676.0,PT BSMT,1949.0,FRAME,C   ,5.0,1.0,0.0,2014-06-30
SINGLE FAMILY,1004 ACKLEN  AVE,2016-08-19,440000.0,0.17,1626,140000.0,179200.0,319200.0,2079.0,FULL BSMT,1930.0,BRICK,C   ,6.0,1.0,0.0,2016-08-19
SINGLE FAMILY,1004 ANITA  DR,2016-08-12,170000.0,1.08,6226,27600.0,69400.0,97000.0,1125.0,CRAWL,1959.0,BRICK,C   ,2.0,1.0,0.0,2016-08-12
